Python,20.86816
4 threads __fp16 -lm -lrt -Os,0.77055,3.12284e-15,
8 threads __fp16 -lm -lrt -Os,0.80316,3.12284e-15,
16 threads __fp16 -lm -lrt -Os,0.68464,3.12284e-15,
32 threads __fp16 -lm -lrt -Os,0.69332,3.12284e-15,
unthreaded double -lm -lrt -Os -funroll-loops,1.24352,2.08545e-15,
1 threads double -lm -lrt -Os -funroll-loops,1.33656,2.08545e-15,
2 threads double -lm -lrt -Os -funroll-loops,1.40583,2.08545e-15,
4 threads double -lm -lrt -Os -funroll-loops,1.31992,2.08545e-15,
8 threads double -lm -lrt -Os -funroll-loops,1.25997,2.08545e-15,
16 threads double -lm -lrt -Os -funroll-loops,1.29127,2.08545e-15,
32 threads double -lm -lrt -Os -funroll-loops,1.27733,2.08545e-15,
unthreaded float -lm -lrt -Os -funroll-loops,0.77574,3.12284e-15,
1 threads float -lm -lrt -Os -funroll-loops,0.66335,3.12284e-15,
2 threads float -lm -lrt -Os -funroll-loops,0.73215,3.12284e-15,
4 threads float -lm -lrt -Os -funroll-loops,0.70850,3.12284e-15,
8 threads float -lm -lrt -Os -funroll-loops,0.67189,3.12284e-15,
16 threads float -lm -lrt -Os -funroll-loops,0.71103,3.12284e-15,
32 threads float -lm -lrt -Os -funroll-loops,0.67907,3.12284e-15,
unthreaded __fp16 -lm -lrt -Os -funroll-loops,0.64737,3.12284e-15,
1 threads __fp16 -lm -lrt -Os -funroll-loops,0.66102,3.12284e-15,
2 threads __fp16 -lm -lrt -Os -funroll-loops,0.68537,3.12284e-15,
4 threads __fp16 -lm -lrt -Os -funroll-loops,0.80617,3.12284e-15,
8 threads __fp16 -lm -lrt -Os -funroll-loops,0.68664,3.12284e-15,
16 threads __fp16 -lm -lrt -Os -funroll-loops,0.73298,3.12284e-15,
32 threads __fp16 -lm -lrt -Os -funroll-loops,1.45290,3.12284e-15,
unthreaded double -lm -lrt -Og,1.30606,2.08545e-15,
1 threads double -lm -lrt -Og,1.25378,2.08545e-15,
2 threads double -lm -lrt -Og,1.22542,2.08545e-15,
4 threads double -lm -lrt -Og,1.28299,2.08545e-15,
8 threads double -lm -lrt -Og,1.29155,2.08545e-15,
16 threads double -lm -lrt -Og,1.29050,2.08545e-15,
32 threads double -lm -lrt -Og,1.29331,2.08545e-15,
